start,end,name
756.0,761.5,STIM_ferretmixed42.wav
756.0,761.5,REFERENCE
756.0,758.0,PreStimSilence
761.0,761.5,PostStimSilence
761.6,767.101,TRIAL
761.6,767.1,STIM_ferretmixed42.wav
761.6,767.1,REFERENCE
761.6,763.6,PreStimSilence
766.6,767.1,PostStimSilence
767.2,772.701,TRIAL
767.2,772.7,STIM_ferretmixed41.wav
767.2,772.7,REFERENCE
767.2,769.2,PreStimSilence
772.2,772.7,PostStimSilence
772.8,778.3009999999999,TRIAL
772.8,778.3,STIM_ferretmixed42.wav
772.8,778.3,REFERENCE
772.8,774.8,PreStimSilence
777.8,778.3,PostStimSilence
778.4,783.901,TRIAL
778.4,783.9,STIM_ferretmixed41.wav
778.4,783.9,REFERENCE
778.4,780.4,PreStimSilence
783.4,783.9,PostStimSilence
784.0,789.501,TRIAL
784.0,789.5,STIM_ferretmixed42.wav
784.0,789.5,REFERENCE
784.0,786.0,PreStimSilence
789.0,789.5,PostStimSilence
789.6,795.101,TRIAL
789.6,795.1,STIM_ferretmixed41.wav
789.6,795.1,REFERENCE
789.6,791.6,PreStimSilence
794.6,795.1,PostStimSilence
795.2,800.701,TRIAL
795.2,800.7,STIM_ferretmixed42.wav
795.2,800.7,REFERENCE
795.2,797.2,PreStimSilence
800.2,800.7,PostStimSilence
800.8,806.3009999999999,TRIAL
800.8,806.3,STIM_ferretmixed41.wav
800.8,806.3,REFERENCE
800.8,802.8,PreStimSilence
805.8,806.3,PostStimSilence
806.4,811.901,TRIAL
806.4,811.9,STIM_ferretmixed41.wav
806.4,811.9,REFERENCE
806.4,808.4,PreStimSilence
811.4,811.9,PostStimSilence
812.0,817.501,TRIAL
812.0,817.5,STIM_ferretmixed42.wav
812.0,817.5,REFERENCE
812.0,814.0,PreStimSilence
817.0,817.5,PostStimSilence
817.6,823.101,TRIAL
817.6,823.1,STIM_ferretmixed41.wav
817.6,823.1,REFERENCE
817.6,819.6,PreStimSilence
822.6,823.1,PostStimSilence
823.2,828.701,TRIAL
823.2,828.7,STIM_ferretmixed42.wav
823.2,828.7,REFERENCE
823.2,825.2,PreStimSilence
828.2,828.7,PostStimSilence
828.8,834.3009999999999,TRIAL
828.8,834.3,STIM_ferretmixed42.wav
828.8,834.3,REFERENCE
828.8,830.8,PreStimSilence
833.8,834.3,PostStimSilence
834.4,839.901,TRIAL
834.4,839.9,STIM_ferretmixed41.wav
834.4,839.9,REFERENCE
834.4,836.4,PreStimSilence
839.4,839.9,PostStimSilence
840.0,845.501,TRIAL
840.0,845.5,STIM_ferretmixed41.wav
840.0,845.5,REFERENCE
840.0,842.0,PreStimSilence
845.0,845.5,PostStimSilence
845.6,851.101,TRIAL
845.6,851.1,STIM_ferretmixed42.wav
845.6,851.1,REFERENCE
845.6,847.6,PreStimSilence
850.6,851.1,PostStimSilence
851.2,856.701,TRIAL
851.2,856.7,STIM_ferretmixed41.wav
851.2,856.7,REFERENCE
851.2,853.2,PreStimSilence
856.2,856.7,PostStimSilence
856.8,862.3009999999999,TRIAL
856.8,862.3,STIM_ferretmixed42.wav
856.8,862.3,REFERENCE
856.8,858.8,PreStimSilence
861.8,862.3,PostStimSilence
862.4,867.901,TRIAL
862.4,867.9,STIM_ferretmixed42.wav
862.4,867.9,REFERENCE
862.4,864.4,PreStimSilence
867.4,867.9,PostStimSilence
868.0,873.501,TRIAL
868.0,873.5,STIM_ferretmixed41.wav
868.0,873.5,REFERENCE
868.0,870.0,PreStimSilence
873.0,873.5,PostStimSilence
873.6,879.101,TRIAL
873.6,879.1,STIM_ferretmixed42.wav
873.6,879.1,REFERENCE
873.6,875.6,PreStimSilence
878.6,879.1,PostStimSilence
879.2,884.701,TRIAL
879.2,884.7,STIM_ferretmixed41.wav
879.2,884.7,REFERENCE
879.2,881.2,PreStimSilence
884.2,884.7,PostStimSilence
884.8,890.3009999999999,TRIAL
884.8,890.3,STIM_ferretmixed42.wav
884.8,890.3,REFERENCE
884.8,886.8,PreStimSilence
889.8,890.3,PostStimSilence
890.4,895.901,TRIAL
890.4,895.9,STIM_ferretmixed41.wav
890.4,895.9,REFERENCE
890.4,892.4,PreStimSilence
895.4,895.9,PostStimSilence
896.0,901.501,TRIAL
896.0,901.5,STIM_ferretmixed42.wav
896.0,901.5,REFERENCE
896.0,898.0,PreStimSilence
901.0,901.5,PostStimSilence
901.6,907.101,TRIAL
901.6,907.1,STIM_ferretmixed41.wav
901.6,907.1,REFERENCE
901.6,903.6,PreStimSilence
906.6,907.1,PostStimSilence
907.2,912.701,TRIAL
907.2,912.7,STIM_ferretmixed41.wav
907.2,912.7,REFERENCE
907.2,909.2,PreStimSilence
912.2,912.7,PostStimSilence
912.8,918.3009999999999,TRIAL
912.8,918.3,STIM_ferretmixed42.wav
912.8,918.3,REFERENCE
912.8,914.8,PreStimSilence
